Target,AdvLoc,Adj,Phrasal
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,1,0,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,1
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,1,0,1
 с утра ,1,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,1,0,1
 с утра ,1,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,1,0,1
 с утра ,1,0,1
 с утра ,1,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,1,1,1
 с утра ,0,1,1
 с утра ,1,1,1
 с утра ,0,1,1
 с утра ,1,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,1,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,0,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,1
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,1
 с утра ,1,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,1
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,1,0,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,0,0
 с утра ,0,1,0
 с утра ,0,0,0
с утра ,0,1,0
 с утра ,1,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
с утра ,0,1,0
 с утра ,0,1,0
 с утра ,0,1,0
с утра ,0,1,0
с утра ,0,1,0
с утра ,0,1,0